datetime,pickup,drop,distance,duration,fare,vehicle_type,status,weather,traffic,surge,hour,day,month,is_weekend
2024-01-04 17:18:00,Financial District,Midtown,30.86,85,96.59,SUV,Completed,Clear,Low,Yes,17,3,1,0
2024-01-02 11:24:00,Mall,Financial District,19.24,60,75.84,Sedan,Completed,Rainy,Medium,No,11,1,1,0
2024-01-07 00:38:00,Suburbs,University,2.27,9,11.16,Motorcycle,Completed,Clear,High,No,0,6,1,1
2024-01-07 16:19:00,Suburbs,Airport,22.87,55,77.68,SUV,Completed,Foggy,Low,No,16,6,1,1
2024-01-05 19:47:00,Airport,Mall,8.49,27,39.27,Sedan,Completed,Clear,Medium,Yes,19,4,1,0
2024-01-06 17:29:00,Suburbs,Suburbs,26.99,100,87.4,Electric,Completed,Rainy,Low,No,17,5,1,1
2024-01-04 13:45:00,Suburbs,Midtown,32.74,108,94.39,SUV,Completed,Snowy,Medium,Yes,13,3,1,0
2024-01-05 19:19:00,Downtown,Financial District,17.79,70,61.68,Sedan,Completed,Foggy,Low,No,19,4,1,0
2024-01-02 00:39:00,Suburbs,Airport,5.36,21,26.4,SUV,Completed,Clear,Medium,No,0,1,1,0
2024-01-07 13:33:00,Suburbs,Financial District,32.61,115,97.64,Sedan,Completed,Rainy,Medium,No,13,6,1,1
2024-01-06 10:18:00,University,University,7.62,27,32.82,Sedan,Completed,Foggy,Low,No,10,5,1,1
2024-01-06 02:24:00,Downtown,Downtown,17.27,43,53.01,Sedan,Completed,Rainy,High,No,2,5,1,1
2024-01-07 19:17:00,Suburbs,Downtown,2.47,6,13.34,Motorcycle,Completed,Foggy,Medium,No,19,6,1,1
2024-01-05 20:29:00,University,Mall,9.6,30,32.53,SUV,Completed,Rainy,Medium,No,20,4,1,0
2024-01-06 12:02:00,Suburbs,Midtown,3.3,13,15.14,Motorcycle,Completed,Rainy,Medium,No,12,5,1,1
2024-01-02 21:19:00,Midtown,Airport,4.81,11,19.3,Sedan,Completed,Rainy,Low,No,21,1,1,0
2024-01-05 14:45:00,University,Airport,30.66,65,108.9,Motorcycle,Completed,Foggy,Medium,No,14,4,1,0
2024-01-07 20:23:00,Downtown,Airport,32.63,122,101.0,Motorcycle,Completed,Clear,Medium,Yes,20,6,1,1
2024-01-04 06:11:00,Downtown,Mall,22.43,59,71.34,SUV,Completed,Clear,Medium,No,6,3,1,0
2024-01-04 15:32:00,Downtown,University,24.66,77,93.41,Shared,Completed,Clear,High,No,15,3,1,0
2024-01-05 16:42:00,Midtown,Downtown,13.59,53,38.13,Sedan,Completed,Clear,Medium,No,16,4,1,0
2024-01-05 18:14:00,Financial District,Midtown,23.97,88,65.95,Motorcycle,Completed,Foggy,Low,No,18,4,1,0
2024-01-03 12:25:00,Mall,Mall,13.81,54,55.54,SUV,Completed,Clear,High,No,12,2,1,0
2024-01-06 18:31:00,Suburbs,Midtown,18.83,59,66.46,Sedan,Completed,Clear,Medium,No,18,5,1,1
2024-01-02 14:31:00,Financial District,Midtown,29.2,77,88.41,SUV,Completed,Rainy,Medium,No,14,1,1,0
2024-01-03 10:09:00,Suburbs,Financial District,24.94,74,84.87,SUV,Completed,Clear,High,No,10,2,1,0
2024-01-05 06:03:00,University,Financial District,33.66,131,109.48,Sedan,Completed,Foggy,Medium,No,6,4,1,0
2024-01-05 01:55:00,University,Mall,27.89,94,79.9,Sedan,Completed,Clear,Medium,No,1,4,1,0
2024-01-07 08:16:00,Airport,Suburbs,5.96,16,20.06,Sedan,Completed,Clear,Medium,Yes,8,6,1,1
2024-01-06 01:27:00,Mall,Airport,26.11,104,83.36,Motorcycle,Completed,Clear,Medium,No,1,5,1,1
2024-01-06 18:01:00,Midtown,Suburbs,23.63,64,90.73,Motorcycle,Completed,Clear,Low,Yes,18,5,1,1
2024-01-04 11:44:00,Airport,Downtown,17.35,62,59.17,SUV,Completed,Rainy,Medium,No,11,3,1,0
2024-01-01 03:11:00,Airport,Midtown,33.35,111,101.26,SUV,Completed,Clear,High,No,3,0,1,0
2024-01-04 23:34:00,Mall,Downtown,29.97,66,105.33,Electric,Completed,Foggy,Medium,No,23,3,1,0
2024-01-06 02:18:00,Suburbs,University,6.39,15,25.94,Motorcycle,Completed,Clear,Low,No,2,5,1,1
2024-01-05 04:24:00,Mall,Mall,29.03,93,88.61,Sedan,Completed,Clear,Medium,No,4,4,1,0
2024-01-01 08:22:00,Midtown,Mall,14.26,33,45.44,SUV,Completed,Foggy,Medium,Yes,8,0,1,0
2024-01-02 11:32:00,Downtown,Suburbs,23.62,74,69.91,Sedan,Completed,Clear,Medium,No,11,1,1,0
2024-01-05 03:56:00,University,Midtown,26.79,98,90.08,SUV,Completed,Clear,Low,No,3,4,1,0
2024-01-04 10:15:00,Financial District,Airport,3.14,9,13.88,Electric,Completed,Clear,Medium,No,10,3,1,0
2024-01-04 10:21:00,Financial District,Airport,27.1,58,83.21,Sedan,Completed,Rainy,Low,Yes,10,3,1,0
2024-01-01 14:23:00,Financial District,Suburbs,25.95,84,80.59,Electric,Completed,Clear,Medium,No,14,0,1,0
2024-01-06 05:37:00,Airport,Mall,21.03,74,78.05,SUV,Completed,Clear,Low,Yes,5,5,1,1
2024-01-03 18:16:00,Airport,Financial District,12.51,32,51.16,SUV,Completed,Clear,Low,Yes,18,2,1,0
2024-01-06 14:58:00,Airport,Airport,6.6,22,21.29,SUV,Completed,Rainy,Low,No,14,5,1,1
2024-01-03 14:44:00,Mall,Suburbs,4.49,10,20.17,SUV,Completed,Rainy,Medium,No,14,2,1,0
2024-01-06 00:25:00,Downtown,Financial District,8.02,24,25.77,Electric,Completed,Foggy,Medium,No,0,5,1,1
2024-01-07 02:37:00,Airport,Airport,14.99,53,49.57,Motorcycle,Completed,Rainy,Low,No,2,6,1,1
2024-01-03 13:52:00,Downtown,Downtown,14.28,47,54.05,SUV,Completed,Rainy,High,No,13,2,1,0
2024-01-02 15:06:00,University,Downtown,11.48,37,37.94,SUV,Completed,Thunderstorm,Medium,Yes,15,1,1,0
2024-01-02 15:14:00,Airport,Financial District,25.64,78,80.96,SUV,Completed,Foggy,Medium,No,15,1,1,0
2024-01-04 12:42:00,Financial District,Airport,1.66,6,14.24,Sedan,Completed,Foggy,High,No,12,3,1,0
2024-01-05 09:17:00,Downtown,Suburbs,8.71,32,36.69,SUV,Completed,Clear,Medium,Yes,9,4,1,0
2024-01-04 23:39:00,Financial District,Financial District,25.13,58,72.84,Sedan,Completed,Clear,Medium,No,23,3,1,0
2024-01-01 19:25:00,Mall,Financial District,32.28,108,103.63,Shared,Completed,Clear,Medium,No,19,0,1,0
2024-01-06 19:19:00,Downtown,Mall,25.23,89,82.0,SUV,Completed,Thunderstorm,Low,No,19,5,1,1
2024-01-06 19:54:00,Suburbs,Downtown,10.86,39,35.82,SUV,Completed,Clear,Medium,No,19,5,1,1
2024-01-03 07:46:00,Downtown,Midtown,23.69,70,77.75,Sedan,Completed,Clear,High,Yes,7,2,1,0
2024-01-07 00:06:00,Airport,University,7.57,25,31.14,SUV,Completed,Clear,Medium,No,0,6,1,1
2024-01-06 02:07:00,University,University,9.37,21,35.3,Sedan,Completed,Clear,Medium,No,2,5,1,1
2024-01-02 16:14:00,Financial District,Mall,32.45,125,95.37,Sedan,Completed,Clear,Medium,No,16,1,1,0
2024-01-04 21:53:00,Financial District,Suburbs,12.7,49,36.88,Sedan,Completed,Clear,Medium,No,21,3,1,0
2024-01-02 11:11:00,Midtown,Financial District,14.67,51,42.7,Sedan,Completed,Clear,Medium,No,11,1,1,0
2024-01-07 18:56:00,Midtown,University,7.48,20,25.01,Sedan,Completed,Rainy,Medium,No,18,6,1,1
2024-01-06 14:24:00,Airport,Financial District,21.17,70,63.68,Sedan,Completed,Clear,Low,No,14,5,1,1
2024-01-03 06:05:00,Suburbs,Airport,26.17,88,85.32,Sedan,Completed,Rainy,Medium,No,6,2,1,0
2024-01-05 11:57:00,Midtown,Midtown,15.98,48,52.88,Shared,Completed,Clear,Low,No,11,4,1,0
2024-01-03 14:41:00,Downtown,Downtown,26.51,93,79.85,Sedan,Completed,Clear,Medium,No,14,2,1,0
2024-01-03 18:58:00,Mall,Mall,11.29,23,38.16,Electric,Completed,Clear,Medium,No,18,2,1,0
2024-01-01 08:49:00,University,University,25.04,63,76.6,Sedan,Completed,Clear,Medium,No,8,0,1,0
2024-01-01 08:06:00,Airport,Airport,9.78,35,37.02,Sedan,Completed,Clear,High,No,8,0,1,0
2024-01-04 22:02:00,Mall,Airport,27.54,107,88.52,Shared,Completed,Rainy,Low,No,22,3,1,0
2024-01-07 09:11:00,Suburbs,Midtown,29.24,110,86.29,Sedan,Completed,Foggy,Medium,No,9,6,1,1
2024-01-07 22:15:00,Mall,Downtown,28.12,97,94.23,SUV,Completed,Rainy,High,No,22,6,1,1
2024-01-05 05:05:00,Downtown,Downtown,8.33,19,31.66,Sedan,Completed,Clear,Low,No,5,4,1,0
2024-01-01 12:40:00,Midtown,Downtown,19.31,41,64.84,Sedan,Completed,Rainy,Medium,No,12,0,1,0
2024-01-01 11:02:00,Downtown,Airport,34.53,113,104.0,Sedan,Completed,Clear,Medium,No,11,0,1,0
2024-01-01 15:02:00,Suburbs,Financial District,13.29,39,51.29,SUV,Completed,Clear,Medium,Yes,15,0,1,0
2024-01-07 05:27:00,Mall,Mall,13.58,54,49.73,SUV,Completed,Clear,Low,No,5,6,1,1
2024-01-04 23:13:00,Financial District,Airport,9.15,21,40.07,Shared,Completed,Rainy,Medium,No,23,3,1,0
2024-01-05 04:00:00,Suburbs,Suburbs,6.59,15,28.96,Sedan,Completed,Clear,Medium,Yes,4,4,1,0
