datetime,pickup,drop,distance,duration,fare,vehicle_type,status,weather,traffic,surge,hour,day,month,is_weekend
2025-01-03 09:11:00,Zone_D,Zone_H,17.72,29.0,203.31,Bike,Completed,Cloudy,High,1.0,9,3,1,0
2025-01-13 04:22:00,Zone_C,Zone_G,7.87,12.0,94.82,Bike,Completed,Clear,High,1.0,4,13,1,0
2025-01-04 23:13:00,Zone_B,Zone_H,6.44,10.0,78.68,Bike,Completed,Rainy,Low,1.0,23,4,1,1
2025-01-19 12:48:00,Zone_C,Zone_G,14.23,25.0,143.12,Bike Lite,Completed,Clear,Low,1.0,12,19,1,1
2025-01-13 03:08:00,Zone_A,Zone_G,18.27,35.0,197.3,Bike,Completed,Cloudy,High,1.0,3,13,1,0
2025-01-05 21:38:00,Zone_C,Zone_E,11.15,21.0,155.91,Auto,Completed,Clear,Low,1.0,21,5,1,1
2025-01-02 17:40:00,Zone_D,Zone_E,24.54,40.0,303.87,Bike,Completed,Cloudy,Low,1.1,17,2,1,0
2025-01-18 06:06:00,Zone_A,Zone_H,17.44,26.0,173.12,Bike Lite,Completed,Rainy,Medium,1.0,6,18,1,1
2025-01-25 09:40:00,Zone_A,Zone_E,12.54,19.0,142.34,Bike,Completed,Rainy,High,1.0,9,25,1,1
2025-01-26 14:12:00,Zone_D,Zone_F,10.41,19.0,137.92,Bike,Completed,Cloudy,Medium,1.1,14,26,1,1
2025-01-16 02:50:00,Zone_B,Zone_G,9.24,16.0,117.77,Bike,Completed,Cloudy,Medium,1.0,2,16,1,0
2025-01-16 12:14:00,Zone_A,Zone_G,18.5,31.0,214.78,Bike,Completed,Clear,High,1.1,12,16,1,0
2025-01-03 08:41:00,Zone_A,Zone_G,11.53,20.0,125.07,Bike,Completed,Clear,Medium,1.0,8,3,1,0
2025-01-08 06:23:00,Zone_C,Zone_H,2.43,5.0,61.81,Auto,Completed,Clear,High,1.0,6,8,1,0
2025-01-07 03:31:00,Zone_B,Zone_H,10.55,16.0,115.59,Bike,Completed,Rainy,Low,1.0,3,7,1,0
2025-01-16 08:19:00,Zone_C,Zone_E,18.71,37.0,220.13,Bike Lite,Completed,Cloudy,Medium,1.1,8,16,1,0
2025-01-26 12:43:00,Zone_A,Zone_F,5.38,10.0,81.96,Bike,Completed,Clear,High,1.1,12,26,1,1
2025-01-16 04:35:00,Zone_B,Zone_G,5.21,10.0,78.3,Bike,Completed,Clear,Low,1.1,4,16,1,0
2025-01-12 03:47:00,Zone_D,Zone_F,13.76,26.0,168.75,Bike,Completed,Cloudy,High,1.1,3,12,1,1
2025-01-08 10:53:00,Zone_B,Zone_E,13.76,24.0,154.87,Bike,Completed,Cloudy,High,1.0,10,8,1,0
2025-01-01 01:49:00,Zone_B,Zone_H,16.23,31.0,152.63,Bike Lite,Completed,Clear,High,1.0,1,1,1,0
2025-01-20 20:31:00,Zone_B,Zone_E,21.39,41.0,225.25,Bike Lite,Completed,Clear,Low,1.0,20,20,1,0
2025-01-04 23:41:00,Zone_D,Zone_E,18.39,33.0,203.99,Bike,Completed,Cloudy,Medium,1.0,23,4,1,1
2025-01-28 04:44:00,Zone_B,Zone_H,15.66,27.0,188.78,Bike,Completed,Rainy,Low,1.1,4,28,1,0
2025-01-18 04:26:00,Zone_B,Zone_E,18.34,29.0,174.93,Bike Lite,Completed,Rainy,Low,1.0,4,18,1,1
2025-01-04 04:19:00,Zone_A,Zone_H,8.75,14.0,90.98,Bike Lite,Completed,Clear,High,1.0,4,4,1,1
2025-01-01 07:12:00,Zone_C,Zone_H,9.68,17.0,158.64,Bike,Completed,Rainy,High,1.3,7,1,1,0
2025-01-15 08:33:00,Zone_A,Zone_G,6.48,13.0,98.14,Bike,Completed,Rainy,Low,1.1,8,15,1,0
2025-01-21 09:41:00,Zone_C,Zone_G,8.05,15.0,97.41,Bike,Completed,Rainy,Low,1.0,9,21,1,0
2025-01-05 15:27:00,Zone_C,Zone_E,16.14,31.0,205.93,Bike,Completed,Clear,Low,1.1,15,5,1,1
2025-01-02 23:56:00,Zone_A,Zone_E,3.21,5.0,79.33,Auto,Completed,Clear,High,1.1,23,2,1,0
2025-01-05 05:19:00,Zone_C,Zone_F,11.41,18.0,118.9,Bike Lite,Completed,Rainy,High,1.0,5,5,1,1
2025-01-07 11:17:00,Zone_C,Zone_E,11.34,17.0,116.84,Bike Lite,Completed,Rainy,Medium,1.1,11,7,1,0
2025-01-06 17:53:00,Zone_A,Zone_H,12.85,20.0,158.12,Bike Lite,Completed,Cloudy,Low,1.3,17,6,1,0
2025-01-01 23:11:00,Zone_B,Zone_G,11.22,20.0,134.0,Bike,Completed,Rainy,High,1.0,23,1,1,0
2025-01-14 06:43:00,Zone_B,Zone_F,8.49,15.0,131.75,Auto,Completed,Cloudy,Medium,1.0,6,14,1,0
2025-01-20 14:22:00,Zone_C,Zone_H,11.23,19.0,185.38,Auto,Completed,Rainy,High,1.1,14,20,1,0
2025-01-27 02:18:00,Zone_B,Zone_E,22.44,36.0,242.42,Bike,Completed,Rainy,Low,1.1,2,27,1,0
2025-01-22 16:55:00,Zone_A,Zone_E,23.66,38.0,310.84,Auto,Completed,Cloudy,High,1.0,16,22,1,0
2025-01-13 01:48:00,Zone_D,Zone_E,13.04,23.0,122.96,Bike Lite,Completed,Rainy,Medium,1.0,1,13,1,0
2025-01-22 08:35:00,Zone_D,Zone_F,15.97,29.0,169.88,Bike,Cancelled,Clear,Low,1.0,8,22,1,0
2025-01-02 16:08:00,Zone_C,Zone_G,3.77,7.0,60.8,Bike,Completed,Rainy,High,1.0,16,2,1,0
2025-01-14 21:14:00,Zone_D,Zone_H,8.61,15.0,113.08,Bike,Completed,Clear,High,1.1,21,14,1,0
2025-01-16 15:09:00,Zone_D,Zone_F,10.96,18.0,165.38,Auto,Completed,Rainy,High,1.0,15,16,1,0
2025-01-24 17:48:00,Zone_A,Zone_G,21.79,33.0,226.41,Bike,Completed,Clear,Low,1.0,17,24,1,0
2025-01-22 23:31:00,Zone_A,Zone_E,7.01,12.0,121.77,Auto,Completed,Cloudy,Medium,1.0,23,22,1,0
2025-01-10 09:56:00,Zone_D,Zone_G,12.59,24.0,145.9,Bike,Completed,Rainy,Medium,1.0,9,10,1,0
2025-01-28 17:05:00,Zone_C,Zone_H,24.65,39.0,316.36,Auto,Completed,Rainy,Medium,1.0,17,28,1,0
2025-01-30 01:41:00,Zone_D,Zone_G,13.47,22.0,148.79,Bike,Completed,Clear,High,1.0,1,30,1,0
2025-01-24 23:42:00,Zone_C,Zone_E,15.71,28.0,170.09,Bike Lite,Completed,Cloudy,High,1.1,23,24,1,0
2025-01-26 16:55:00,Zone_A,Zone_G,3.9,6.0,47.9,Bike Lite,Completed,Clear,Medium,1.0,16,26,1,1
2025-01-15 08:21:00,Zone_C,Zone_G,20.83,35.0,185.17,Bike Lite,Completed,Clear,Medium,1.0,8,15,1,0
2025-01-01 13:42:00,Zone_C,Zone_G,15.47,26.0,157.26,Bike Lite,Completed,Clear,High,1.0,13,1,1,0
2025-01-19 02:58:00,Zone_D,Zone_E,14.08,27.0,162.55,Bike,Completed,Rainy,Medium,1.0,2,19,1,1
2025-01-30 09:46:00,Zone_D,Zone_E,9.23,15.0,109.85,Bike,Completed,Cloudy,Low,1.0,9,30,1,0
2025-01-24 08:03:00,Zone_C,Zone_G,8.3,13.0,117.58,Bike,Completed,Clear,Medium,1.1,8,24,1,0
2025-01-20 18:27:00,Zone_D,Zone_G,11.01,17.0,129.37,Bike,Completed,Rainy,High,1.0,18,20,1,0
2025-01-25 12:12:00,Zone_C,Zone_E,17.35,35.0,187.86,Bike Lite,Completed,Rainy,Medium,1.0,12,25,1,1
2025-01-30 01:15:00,Zone_A,Zone_F,22.01,38.0,244.58,Bike,Completed,Rainy,Medium,1.1,1,30,1,0
2025-01-28 03:32:00,Zone_A,Zone_H,13.25,24.0,152.3,Bike Lite,Completed,Cloudy,Low,1.1,3,28,1,0
2025-01-23 02:59:00,Zone_A,Zone_E,17.06,31.0,268.94,Auto,Completed,Cloudy,High,1.1,2,23,1,0
2025-01-24 16:38:00,Zone_A,Zone_H,15.06,29.0,181.24,Bike,Completed,Clear,Low,1.0,16,24,1,0
2025-01-20 02:12:00,Zone_B,Zone_G,16.0,29.0,189.07,Bike,Cancelled,Cloudy,High,1.0,2,20,1,0
2025-01-18 01:04:00,Zone_D,Zone_F,17.19,28.0,197.36,Bike,Completed,Clear,High,1.1,1,18,1,1
2025-01-24 05:07:00,Zone_D,Zone_H,21.22,32.0,184.21,Bike Lite,Completed,Clear,High,1.0,5,24,1,0
2025-01-02 10:46:00,Zone_B,Zone_E,3.0,5.0,47.78,Bike,Completed,Rainy,Medium,1.0,10,2,1,0
2025-01-30 09:00:00,Zone_B,Zone_H,19.33,35.0,221.33,Bike,Cancelled,Cloudy,Low,1.0,9,30,1,0
2025-01-09 06:12:00,Zone_C,Zone_E,6.85,11.0,121.19,Auto,Completed,Rainy,Low,1.1,6,9,1,0
2025-01-04 18:13:00,Zone_C,Zone_G,5.66,9.0,113.83,Auto,Completed,Cloudy,Medium,1.1,18,4,1,1
2025-01-23 03:49:00,Zone_A,Zone_H,14.74,23.0,176.94,Bike Lite,Completed,Clear,Medium,1.3,3,23,1,0
2025-01-30 22:47:00,Zone_D,Zone_H,3.3,6.0,52.29,Bike,Completed,Clear,Medium,1.0,22,30,1,0
2025-01-12 22:03:00,Zone_C,Zone_G,22.25,39.0,250.71,Bike,Completed,Rainy,Medium,1.0,22,12,1,1
2025-01-08 17:49:00,Zone_D,Zone_H,16.05,28.0,182.07,Bike,Completed,Cloudy,Medium,1.0,17,8,1,0
2025-01-16 05:48:00,Zone_C,Zone_E,18.36,30.0,183.2,Bike Lite,Completed,Cloudy,High,1.0,5,16,1,0
2025-01-16 08:00:00,Zone_B,Zone_E,1.39,2.0,54.71,Auto,Completed,Cloudy,Low,1.1,8,16,1,0
2025-01-26 05:20:00,Zone_C,Zone_G,15.27,23.0,161.32,Bike,Cancelled,Cloudy,High,1.0,5,26,1,1
2025-01-18 19:17:00,Zone_B,Zone_F,14.36,24.0,202.0,Auto,Completed,Rainy,Low,1.0,19,18,1,1
2025-01-04 08:03:00,Zone_C,Zone_E,4.82,8.0,69.13,Bike,Completed,Cloudy,Medium,1.0,8,4,1,1
2025-01-21 18:54:00,Zone_B,Zone_F,4.67,8.0,82.49,Auto,Completed,Clear,Medium,1.0,18,21,1,0
2025-01-18 15:25:00,Zone_D,Zone_F,17.69,32.0,249.27,Auto,Completed,Clear,High,1.0,15,18,1,1
2025-01-27 02:03:00,Zone_D,Zone_E,8.65,14.0,85.39,Bike Lite,Completed,Clear,High,1.0,2,27,1,0
