datetime,pickup,drop,distance,duration,fare,vehicle_type,status,weather,traffic,surge,hour,day,month,is_weekend
2025-01-19 02:59:00,Area_C,Area_H,15.61,33.0,345.18,UberX,Completed,Clear,Medium,1.0,2,19,1,1
2025-01-21 16:44:00,Area_A,Area_E,38.08,81.0,682.24,UberX,Completed,Cloudy,High,1.5,16,21,1,0
2025-01-25 21:28:00,Area_D,Area_E,29.55,66.0,640.23,UberGo,Completed,Clear,High,1.2,21,25,1,1
2025-01-03 06:50:00,Area_B,Area_H,24.35,47.0,431.64,UberGo,Completed,Cloudy,High,1.0,6,3,1,0
2025-01-15 09:38:00,Area_D,Area_G,7.08,14.0,240.32,UberXL,Completed,Clear,High,1.2,9,15,1,0
2025-01-01 15:06:00,Area_A,Area_H,7.08,13.0,242.61,UberXL,Completed,Clear,High,1.0,15,1,1,0
2025-01-08 22:52:00,Area_D,Area_H,3.27,8.0,114.85,UberX,Completed,Rainy,Medium,1.0,22,8,1,0
2025-01-05 20:21:00,Area_C,Area_E,34.78,66.0,522.93,UberGo,Completed,Cloudy,High,1.0,20,5,1,1
2025-01-04 20:37:00,Area_B,Area_F,24.44,45.0,728.21,UberXL,Completed,Clear,Medium,1.0,20,4,1,1
2025-01-01 20:07:00,Area_B,Area_G,28.61,53.0,739.35,UberXL,Completed,Rainy,Medium,1.2,20,1,1,0
2025-01-03 21:57:00,Area_A,Area_F,1.8,3.0,80.11,UberGo,Completed,Rainy,Low,1.0,21,3,1,0
2025-01-17 07:58:00,Area_A,Area_F,38.83,72.0,755.34,UberX,Completed,Cloudy,High,1.0,7,17,1,0
2025-01-06 15:58:00,Area_D,Area_G,33.47,59.0,820.53,UberXL,Completed,Rainy,High,1.0,15,6,1,0
2025-01-17 15:36:00,Area_D,Area_H,9.28,20.0,264.23,UberXL,Completed,Cloudy,Medium,1.0,15,17,1,0
2025-01-09 00:14:00,Area_B,Area_H,8.09,16.0,147.64,UberGo,Completed,Cloudy,Medium,1.2,0,9,1,0
2025-01-11 07:37:00,Area_C,Area_F,8.15,19.0,153.28,UberGo,Completed,Cloudy,Low,1.0,7,11,1,1
2025-01-11 07:04:00,Area_C,Area_F,12.87,31.0,289.48,UberX,Cancelled,Rainy,Low,1.0,7,11,1,1
